Pin Count,Color Count,Strategy,GPU Mode,Initial Guess,Average Turns,Max Turns,Elapsed (s),Average Game Time (ms),CPU Scores,GPU FPS,GPU Kernels,GPU Scores,Hist_00,Hist_01,Hist_02,Hist_03,Hist_04,Hist_05,Hist_06,Hist_07,Hist_08,Hist_09,Hist_10,Hist_11,Hist_12,Hist_13,Hist_14,Hist_15,Hist_16,Hist_17,Hist_18,Hist_19,Hist_20,Hist_21,Hist_22,Hist_23,Hist_24,Hist_25,Hist_26,Hist_27,Hist_28,Hist_29,Hist_30,Hist_31,Max Secret,Total Codewords,Git Commit Date,Git Commit Hash,Git Branch
2,5,Expected Size,CPU,11,3.68,5,2.2552e-05,0.00090208,1267,0,0,0,0,1,2,4,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,2020-12-05 17:58:10 -0800,6bacb03,master
2,5,Expected Size,CPU,12,3.24,4,1.8314e-05,0.00073256,933,0,0,0,0,1,3,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,25,2020-12-05 17:58:10 -0800,6bacb03,master
2,5,First One,,11,3.96,6,1.153e-05,0.0004612,296,,,0,0,1,2,5,7,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,25,2020-12-05 17:58:10 -0800,6bacb03,master
2,5,First One,,12,3.48,6,1.1361e-05,0.00045444,316,,,0,0,1,4,7,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,25,2020-12-05 17:58:10 -0800,6bacb03,master
2,6,Knuth,CPU,11,4.13889,6,3.9972e-05,0.00111033,3197,0,0,0,0,1,2,5,12,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,36,2020-12-05 17:58:10 -0800,6bacb03,master
2,6,Knuth,CPU,12,3.66667,5,3.0187e-05,0.000838528,2559,0,0,0,0,1,4,6,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,36,2020-12-05 17:58:10 -0800,6bacb03,master
2,6,Most Parts,CPU,11,4.05556,5,3.4103e-05,0.000947306,3048,0,0,0,0,1,2,5,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,36,2020-12-05 17:58:10 -0800,6bacb03,master
2,6,Most Parts,CPU,12,3.66667,5,2.9495e-05,0.000819306,2559,0,0,0,0,1,4,6,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,36,2020-12-05 17:58:10 -0800,6bacb03,master
2,6,Entropy,CPU,11,4.05556,5,4.7705e-05,0.00132514,2989,0,0,0,0,1,2,4,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,36,2020-12-05 17:58:10 -0800,6bacb03,master
2,6,Entropy,CPU,12,3.69444,5,4.7127e-05,0.00130908,2493,0,0,0,0,1,2,8,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,36,2020-12-05 17:58:10 -0800,6bacb03,master
2,6,Expected Size,CPU,11,4.05556,5,3.8982e-05,0.00108283,2989,0,0,0,0,1,2,4,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,36,2020-12-05 17:58:10 -0800,6bacb03,master
2,6,Expected Size,CPU,12,3.69444,5,3.8592e-05,0.001072,2491,0,0,0,0,1,3,6,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,36,2020-12-05 17:58:10 -0800,6bacb03,master
2,6,First One,,11,4.61111,7,1.7375e-05,0.000482639,522,,,0,0,1,2,5,7,9,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,36,2020-12-05 17:58:10 -0800,6bacb03,master
2,6,First One,,12,4.05556,7,2.4854e-05,0.000690389,546,,,0,0,1,4,7,9,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,36,2020-12-05 17:58:10 -0800,6bacb03,master
2,7,Knuth,CPU,11,4.4898,6,6.4133e-05,0.00130884,6685,0,0,0,0,1,2,5,10,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,49,2020-12-05 17:58:10 -0800,6bacb03,master
2,7,Knuth,CPU,12,4.12245,6,6.2224e-05,0.00126988,5784,0,0,0,0,1,4,6,16,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,49,2020-12-05 17:58:10 -0800,6bacb03,master
2,7,Most Parts,CPU,11,4.4898,6,5.4099e-05,0.00110406,6685,0,0,0,0,1,2,5,10,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,49,2020-12-05 17:58:10 -0800,6bacb03,master
2,7,Most Parts,CPU,12,4.06122,5,5.0981e-05,0.00104043,5583,0,0,0,0,1,4,6,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,49,2020-12-05 17:58:10 -0800,6bacb03,master
2,7,Entropy,CPU,11,4.5102,6,0.000118305,0.00241439,6600,0,0,0,0,1,2,3,12,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,49,2020-12-05 17:58:10 -0800,6bacb03,master
2,7,Entropy,CPU,12,4.04082,5,9.16e-05,0.00186939,5326,0,0,0,0,1,3,6,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,49,2020-12-05 17:58:10 -0800,6bacb03,master
2,7,Expected Size,CPU,11,4.5102,6,7.0351e-05,0.00143573,6598,0,0,0,0,1,2,4,10,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,49,2020-12-05 17:58:10 -0800,6bacb03,master
2,7,Expected Size,CPU,12,4.04082,5,6.6886e-05,0.00136502,5326,0,0,0,0,1,3,6,22,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,49,2020-12-05 17:58:10 -0800,6bacb03,master
2,7,First One,,11,5.26531,8,2.4303e-05,0.00049598,863,,,0,0,1,2,5,7,9,11,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,49,2020-12-05 17:58:10 -0800,6bacb03,master
2,7,First One,,12,4.65306,8,2.4028e-05,0.000490367,855,,,0,0,1,4,7,9,11,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,49,2020-12-05 17:58:10 -0800,6bacb03,master
2,8,Knuth,CPU,11,4.92188,7,9.6977e-05,0.00151527,13009,0,0,0,0,1,2,5,10,22,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,64,2020-12-05 17:58:10 -0800,6bacb03,master
2,8,Knuth,CPU,12,4.45312,6,7.9655e-05,0.00124461,11026,0,0,0,0,1,4,6,14,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,64,2020-12-05 17:58:10 -0800,6bacb03,master
2,8,Most Parts,CPU,11,4.875,6,9.0205e-05,0.00140945,12748,0,0,0,0,1,2,5,10,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,64,2020-12-05 17:58:10 -0800,6bacb03,master
2,8,Most Parts,CPU,12,4.45312,6,8.0512e-05,0.001258,11026,0,0,0,0,1,4,6,14,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,64,2020-12-05 17:58:10 -0800,6bacb03,master
2,8,Entropy,CPU,11,4.85938,6,0.000141442,0.00221003,12401,0,0,0,0,1,2,4,10,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,64,2020-12-05 17:58:10 -0800,6bacb03,master
2,8,Entropy,CPU,12,4.45312,6,0.000137143,0.00214286,10766,0,0,0,0,1,3,5,17,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,64,2020-12-05 17:58:10 -0800,6bacb03,master
2,8,Expected Size,CPU,11,4.85938,6,0.00010759,0.00168109,12401,0,0,0,0,1,2,4,10,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,64,2020-12-05 17:58:10 -0800,6bacb03,master
2,8,Expected Size,CPU,12,4.45312,6,0.000105165,0.0016432,10764,0,0,0,0,1,3,6,15,34,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,64,2020-12-05 17:58:10 -0800,6bacb03,master
2,8,First One,,11,5.92188,9,3.2363e-05,0.000505672,1279,,,0,0,1,2,5,7,9,11,13,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,64,2020-12-05 17:58:10 -0800,6bacb03,master
2,8,First One,,12,5.26562,9,3.127e-05,0.000488594,1262,,,0,0,1,4,7,9,11,13,15,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,64,2020-12-05 17:58:10 -0800,6bacb03,master
2,9,Knuth,CPU,11,5.2716,7,0.000152648,0.00188454,22960,0,0,0,0,1,2,5,10,18,38,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,81,2020-12-05 17:58:10 -0800,6bacb03,master
